x_utm,y_utm,lon,lat,height_m,crown_radius_m,bucket
551190.38,4161106.09,-122.4201207,37.5956046,27.2,6.1,tall
551335.38,4161291.09,-122.4184652,37.5972639,27.2,8.9,tall
551800.38,4161962.09,-122.4131504,37.6032856,27.1,5.9,tall
552693.38,4161366.09,-122.403077,37.5978631,27.1,13.3,tall
551725.38,4162091.09,-122.4139909,37.6044525,27.1,7.3,tall
551558.38,4161754.09,-122.4159066,37.6014245,27.0,12.5,tall
551432.38,4161661.09,-122.4173405,37.6005933,27.0,12.3,tall
552899.38,4163117.09,-122.4006169,37.613633,27.0,12.7,tall
551792.38,4161225.09,-122.4132932,37.5966434,26.9,6.5,tall
551791.38,4162042.09,-122.4132467,37.6040071,26.9,9.0,tall
551879.38,4161335.09,-122.4122999,37.59763,26.9,11.0,tall
551838.38,4161881.09,-122.4127257,37.6025534,26.8,11.5,tall
551861.38,4161163.09,-122.412516,37.5960807,26.8,5.0,tall
551297.38,4162802.09,-122.4187897,37.6108847,26.8,14.0,tall
551192.38,4161127.09,-122.4200966,37.5957937,26.8,5.0,tall
551687.38,4162081.09,-122.4144221,37.6043645,26.7,6.8,tall
551805.38,4161215.09,-122.4131467,37.5965526,26.7,10.4,tall
551687.38,4162088.09,-122.4144216,37.6044276,26.7,6.8,tall
551694.38,4161810.09,-122.414362,37.6019216,26.7,14.0,tall
551801.38,4162008.09,-122.4131358,37.6037001,26.7,11.0,tall
551988.38,4162871.09,-122.410956,37.6114678,26.6,11.5,tall
552080.38,4162891.09,-122.4099123,37.6116429,26.6,7.9,tall
553213.38,4162019.09,-122.3971391,37.6037186,26.5,8.0,tall
551576.38,4161317.09,-122.4157335,37.5974848,26.5,10.7,tall
552868.38,4163011.09,-122.4009757,37.6126794,26.5,12.3,tall
551890.38,4161374.09,-122.4121725,37.5979808,26.5,14.0,tall
551823.38,4161885.09,-122.4128953,37.6025903,26.4,8.8,tall
551786.38,4161229.09,-122.4133609,37.5966798,26.4,4.3,tall
553061.38,4161621.09,-122.3988899,37.6001402,26.4,8.7,tall
552541.38,4162239.09,-122.4047361,37.6057401,26.3,6.8,tall
551678.38,4161257.09,-122.4145823,37.5969383,26.3,12.1,tall
552550.38,4162238.09,-122.4046342,37.6057306,26.3,7.6,tall
552987.38,4163140.09,-122.3996181,37.6138353,26.2,8.3,tall
551768.38,4162214.09,-122.4134951,37.6055587,26.0,13.2,tall
551765.38,4161236.09,-122.4135983,37.5967441,26.0,11.1,tall
552208.38,4162530.09,-122.4084878,37.6083819,26.0,8.8,tall
552876.38,4161491.09,-122.400995,37.5989792,26.0,10.9,tall
551810.38,4161970.09,-122.4130366,37.6033571,26.0,14.0,tall
551708.38,4162006.09,-122.4141895,37.6036873,25.9,8.3,tall
551850.38,4161762.09,-122.4125982,37.6014802,25.9,9.9,tall
551697.38,4162131.09,-122.4143053,37.6048146,25.9,9.4,tall
551902.38,4161268.09,-122.4120441,37.5970248,25.9,8.2,tall
551895.38,4161684.09,-122.4120939,37.6007746,25.8,14.0,tall
551242.38,4162924.09,-122.4194043,37.6119874,25.8,14.0,tall
552486.38,4161412.09,-122.4054185,37.5982895,25.6,8.4,tall
551534.38,4162340.09,-122.4161372,37.6067075,25.6,10.1,tall
551793.38,4162029.09,-122.413225,37.6038898,25.6,8.6,tall
552362.38,4161981.09,-122.4067824,37.603425,25.6,6.9,tall
551680.38,4162096.09,-122.4145004,37.6045001,25.5,14.0,tall
552253.38,4161539.09,-122.4080488,37.5994474,25.5,9.3,tall
553136.38,4161561.09,-122.3980447,37.5995951,25.5,12.0,tall
